Date	Value
3/2/2015	56.93
2/27/2015	56.83
2/26/2015	56.07
2/25/2015	53.81
2/24/2015	53.54
2/23/2015	54.09
2/20/2015	56.55
2/19/2015	56.29
2/18/2015	56.83
2/17/2015	56.69
2/16/2015	56.43
2/13/2015	55.97
2/12/2015	52.86
2/11/2015	52.21
2/10/2015	53.14
2/9/2015	53.58
2/6/2015	53.36
2/5/2015	50.81
2/4/2015	52.22
2/3/2015	51.77
2/2/2015	48.19
1/30/2015	44.83
1/29/2015	43.88
1/28/2015	44.08
1/27/2015	43.24
1/26/2015	42.9
1/23/2015	43.69
1/22/2015	43.05
1/21/2015	43.25
1/20/2015	43.04
1/19/2015	43.87
1/16/2015	43.4
1/15/2015	43.14
1/14/2015	41.65
1/13/2015	41.5
1/12/2015	43.55
1/9/2015	45.19
1/8/2015	45.68
1/7/2015	44.79
1/6/2015	46.57
1/5/2015	48.87
1/2/2015	51.78
12/31/2014	52
12/30/2014	52.39
12/29/2014	54.44
12/24/2014	56.03
12/23/2014	55.59
12/22/2014	56.9
12/19/2014	55.52
12/18/2014	56.3
12/17/2014	55.64
12/16/2014	55.91
12/15/2014	57.92
12/12/2014	58.65
12/11/2014	60.5
12/10/2014	61.35
12/9/2014	62.33
12/8/2014	63.78
12/5/2014	65.32
12/4/2014	66.27
12/3/2014	67.31
12/2/2014	68.13
12/1/2014	66.44
11/28/2014	68.89
11/27/2014	70.8
11/26/2014	73.7
11/25/2014	74.28
11/24/2014	75.7
11/21/2014	75.42
11/20/2014	74.03
11/19/2014	74.05
11/18/2014	74.36
11/17/2014	73.9
11/14/2014	73.47
11/13/2014	75.15
11/12/2014	76.96
11/11/2014	77.27
11/10/2014	78.98
11/7/2014	78.67
11/6/2014	78.27
11/5/2014	78.11
11/4/2014	78.67
11/3/2014	80.64
10/31/2014	81.97
10/30/2014	82.79
10/29/2014	83.24
10/28/2014	82.44
10/27/2014	82.37
10/24/2014	82.48
10/23/2014	81.67
10/22/2014	81.94
10/21/2014	82.09
10/20/2014	82.37
10/17/2014	83.19
10/16/2014	81.17
10/15/2014	81.89
10/14/2014	85.14
10/13/2014	85.93
10/10/2014	86.43
10/9/2014	88.27
10/8/2014	88.32
10/7/2014	89.37
10/6/2014	90.4
10/3/2014	90.33
10/2/2014	90.4
10/1/2014	92.19
9/30/2014	94.17
9/29/2014	94.54
9/26/2014	94.13
9/25/2014	94.25
9/24/2014	94.18
9/23/2014	94.31
9/22/2014	94.37
9/19/2014	94.44
9/18/2014	95.19
9/17/2014	95.84
9/16/2014	95.3
9/15/2014	94.68
9/12/2014	95.68
9/11/2014	95.35
9/10/2014	95.93
9/9/2014	96.99
9/8/2014	97
9/5/2014	98.38
9/4/2014	99.15
9/3/2014	98.66
9/2/2014	98.95
9/1/2014	100.1
8/29/2014	99.99
8/28/2014	99.97
8/27/2014	100.06
8/26/2014	99.82
8/25/2014	99.09
8/22/2014	99.19
8/21/2014	99.03
8/20/2014	99.52
8/19/2014	98.93
8/18/2014	99.42
8/15/2014	99.94
8/14/2014	100.99
8/13/2014	100.88
8/12/2014	101.66
8/11/2014	102.29
8/8/2014	103.1
8/7/2014	102.22
8/6/2014	102.05
8/5/2014	102.23
8/4/2014	102.58
8/1/2014	102.89
7/31/2014	103.6
7/30/2014	105.21
7/29/2014	105.44
7/28/2014	105.11
7/25/2014	105.31
7/24/2014	105.22
7/23/2014	105.3
7/22/2014	105.74
7/21/2014	105.07
7/18/2014	105.54
7/17/2014	105.04
7/16/2014	104.44
7/15/2014	103.65
7/14/2014	104.12
7/11/2014	104.87
7/10/2014	105.16
7/9/2014	105.49
7/8/2014	106.25
7/7/2014	106.89
7/4/2014	107.34
7/3/2014	107.17
7/2/2014	108.35
7/1/2014	108.68
6/30/2014	108.59
6/27/2014	109.17
6/26/2014	109.38
6/25/2014	109.63
6/24/2014	109.62
6/23/2014	110.3
6/20/2014	110.48
6/19/2014	110.26
6/18/2014	109.6
6/17/2014	108.81
6/16/2014	109.09
6/13/2014	109.31
6/12/2014	107.46
6/11/2014	106.02
6/10/2014	105.89
6/9/2014	105.72
6/6/2014	105.38
6/5/2014	104.73
6/4/2014	105.56
6/3/2014	105.14
6/2/2014	105.6
5/30/2014	105.91
5/29/2014	106.45
5/28/2014	106.35
5/27/2014	106.79
5/26/2014	106.73
5/23/2014	106.92
5/22/2014	107
5/21/2014	106.82
5/20/2014	106.18
5/19/2014	106.43
5/16/2014	105.95
5/15/2014	105.66
5/14/2014	105.62
5/13/2014	104.5
5/12/2014	104.21
5/9/2014	104.46
5/8/2014	103.94
5/7/2014	103.68
5/6/2014	103.69
5/5/2014	104.35
5/2/2014	104.25
5/1/2014	103.77
4/30/2014	103.95
4/29/2014	104.95
4/28/2014	105.43
4/25/2014	105.37
4/24/2014	105.2
4/23/2014	104.99
4/22/2014	105.19
4/21/2014	105.34
4/17/2014	105.53
4/16/2014	106.06
4/15/2014	105.21
4/14/2014	104.81
4/11/2014	104.07
4/10/2014	104.33
4/9/2014	104.22
4/8/2014	103.16
4/7/2014	102.16
4/4/2014	103.12
4/3/2014	101.57
4/2/2014	101.72
4/1/2014	103.25
3/31/2014	104.08
3/28/2014	104.27
3/27/2014	103.79
3/26/2014	103.62
3/25/2014	103.39
3/24/2014	103.13
3/21/2014	103.3
3/20/2014	102.37
3/19/2014	103.16
3/18/2014	103.29
3/17/2014	103.85
3/14/2014	103.83
3/13/2014	103.71
3/12/2014	103.75
3/11/2014	104.38
3/10/2014	104.48
3/7/2014	104.98
3/6/2014	104.37
3/5/2014	105.24
3/4/2014	106.3
3/3/2014	107.8
2/28/2014	105.92
2/27/2014	106.1
2/26/2014	106.49
2/25/2014	106.55
2/24/2014	106.7
2/21/2014	106.68
2/20/2014	106.79
2/19/2014	107.15
2/18/2014	106.53
2/17/2014	106.11
2/14/2014	105.58
2/13/2014	105.27
2/12/2014	105.46
2/11/2014	105.3
2/10/2014	105.52
2/7/2014	104.41
2/6/2014	103.34
2/5/2014	102.63
2/4/2014	102.55
2/3/2014	102.55
1/31/2014	104.45
1/30/2014	105.09
1/29/2014	104.57
1/28/2014	104.67
1/27/2014	104.62
1/24/2014	105.04
1/23/2014	106.11
1/22/2014	105.62
1/21/2014	105.26
1/20/2014	104.17
1/17/2014	103.98
1/16/2014	104.39
1/15/2014	104.28
1/14/2014	103.92
1/13/2014	103.93
1/10/2014	104.09
1/9/2014	104.28
1/8/2014	104.43
1/7/2014	104.51
1/6/2014	104.33
1/3/2014	104.99
1/2/2014	106.85
12/31/2013	107.94
12/30/2013	108.57
12/27/2013	109.35
12/24/2013	108.76
12/23/2013	108.73
12/20/2013	108.15
12/19/2013	107.49
12/18/2013	106.74
12/17/2013	106.57
12/16/2013	106.92
12/13/2013	105.95
12/12/2013	106.96
12/11/2013	106.81
12/10/2013	106.83
12/9/2013	107.72
12/6/2013	108
12/5/2013	108.22
12/4/2013	108.92
12/3/2013	108.08
12/2/2013	106.74
11/29/2013	107.07
11/28/2013	107.34
11/27/2013	107.14
11/26/2013	107.36
11/25/2013	106.07
11/22/2013	106.73
11/21/2013	105.4
11/20/2013	104.58
11/19/2013	105.02
11/18/2013	105.04
11/15/2013	105.24
11/14/2013	104.67
11/13/2013	103.52
11/12/2013	103.6
11/11/2013	103.39
11/8/2013	102.12
11/7/2013	102.64
11/6/2013	103.82
11/5/2013	103.83
11/4/2013	104.22
11/1/2013	105.53
10/31/2013	106.75
10/30/2013	106.31
10/29/2013	106.36
10/28/2013	105.75
10/25/2013	104.97
10/24/2013	105.57
10/23/2013	106.34
10/22/2013	106.77
10/21/2013	106.76
10/18/2013	106.54
10/17/2013	107.02
10/16/2013	107.19
10/15/2013	107.64
10/14/2013	108
10/11/2013	108.15
10/10/2013	107.69
10/9/2013	106.94
10/8/2013	107.36
10/7/2013	106.45
10/4/2013	106.94
10/3/2013	106.79
10/2/2013	106.08
10/1/2013	105.42
9/30/2013	105.61
9/27/2013	106.47
9/26/2013	106.34
9/25/2013	106.53
9/24/2013	105.8
9/23/2013	106.52
9/20/2013	107.34
9/19/2013	108.4
9/18/2013	107.26
9/17/2013	107.64
9/16/2013	109.04
9/13/2013	109.87
9/12/2013	109.83
9/11/2013	109.4
9/10/2013	109.26
9/9/2013	111.39
9/6/2013	112.1
9/5/2013	111.47
9/4/2013	111.55
9/3/2013	111.2
9/2/2013	110.32
8/30/2013	111.55
8/29/2013	112.8
8/28/2013	112.25
8/27/2013	109.28
8/26/2013	108.36
8/23/2013	108.25
8/22/2013	107.58
8/21/2013	106.95
8/20/2013	107.06
8/19/2013	107.83
8/16/2013	107.8
8/15/2013	107.96
8/14/2013	106.69
8/13/2013	106.75
8/12/2013	105.27
8/9/2013	104.94
8/8/2013	104.47
8/7/2013	104.89
8/6/2013	105.56
8/5/2013	106.43
8/2/2013	106.65
8/1/2013	106.1
7/31/2013	104.97
7/30/2013	104.92
7/29/2013	105.21
7/26/2013	105.1
7/25/2013	105.28
7/24/2013	105.44
7/23/2013	105.95
7/22/2013	106.14
7/19/2013	106.4
7/18/2013	106.11
7/17/2013	105.28
7/16/2013	105.39
7/15/2013	105.31
7/12/2013	104.82
7/11/2013	104.81
7/10/2013	104.69
7/9/2013	104.06
7/8/2013	103.96
7/5/2013	103.2
7/4/2013	102.39
7/3/2013	102.24
7/2/2013	100.63
7/1/2013	100.1
6/28/2013	100.78
6/27/2013	100.37
6/26/2013	99.39
6/25/2013	99.79
6/24/2013	98.33
6/21/2013	99.82
6/20/2013	101.4
6/19/2013	103.78
6/18/2013	103.1
6/17/2013	103.85
6/14/2013	103.33
6/13/2013	101.26
6/12/2013	100.89
6/11/2013	100.72
6/10/2013	101.38
6/7/2013	101.64
6/6/2013	100.93
6/5/2013	101.09
6/4/2013	99.87
6/3/2013	98.88
5/31/2013	98.78
5/30/2013	99.77
5/29/2013	100.54
5/28/2013	101.11
5/27/2013	99.56
5/24/2013	99.15
5/23/2013	99.03
5/22/2013	100.36
5/21/2013	101.39
5/20/2013	101.95
5/17/2013	101.45
5/16/2013	100.85
5/15/2013	99.66
5/14/2013	100.29
5/13/2013	100.47
5/10/2013	101.07
5/9/2013	101.67
5/8/2013	102.11
5/7/2013	102.75
5/6/2013	102.61
5/3/2013	101.47
5/2/2013	98.97
5/1/2013	99.97
4/30/2013	100.65
4/29/2013	100.91
4/26/2013	100.7
4/25/2013	99.89
4/24/2013	98.96
4/23/2013	97.52
4/22/2013	97.75
4/19/2013	97.4
4/18/2013	96.35
4/17/2013	96.71
4/16/2013	97.15
4/15/2013	98.56
4/12/2013	100.63
4/11/2013	102.44
4/10/2013	103.26
4/9/2013	102.72
4/8/2013	102.35
4/5/2013	103.1
4/4/2013	104.21
4/3/2013	106.8
4/2/2013	108.16
4/1/2013	106.97
3/28/2013	107.23
3/27/2013	106.79
3/26/2013	105.86
3/25/2013	105.48
3/22/2013	105.13
3/21/2013	105.69
3/20/2013	105.85
3/19/2013	106.52
3/18/2013	106.36
3/15/2013	106.62
3/14/2013	105.88
3/13/2013	106.05
3/12/2013	106.51
3/11/2013	106.96
3/8/2013	107.06
3/7/2013	107.31
3/6/2013	107.64
3/5/2013	106.99
3/4/2013	106.12
3/1/2013	106.79
2/28/2013	108.62
2/27/2013	109.69
2/26/2013	110.1
2/25/2013	111.2
2/22/2013	110.94
2/21/2013	111.27
2/20/2013	113.28
2/19/2013	113.62
2/18/2013	114.18
2/15/2013	114.23
2/14/2013	114.67
2/13/2013	114.94
2/12/2013	114.3
2/11/2013	114.36
2/8/2013	114.44
2/7/2013	113.67
2/6/2013	113.1
2/5/2013	112.68
2/4/2013	112.99
2/1/2013	112.62
1/31/2013	112.3
1/30/2013	111.43
1/29/2013	110.52
1/28/2013	110.15
1/25/2013	110.2
1/24/2013	109.88
1/23/2013	109.71
1/22/2013	109.48
1/21/2013	109.32
1/18/2013	108.92
1/17/2013	108.01
1/16/2013	107.75
1/15/2013	108.35
1/14/2013	108.06
1/11/2013	108.2
1/10/2013	109.3
1/9/2013	109.01
1/8/2013	108.72
1/7/2013	108.15
1/4/2013	108.68
1/3/2013	109.15
1/2/2013	108.96
12/31/2012	107.76
12/28/2012	107.87
12/27/2012	108.03
12/26/2012	106.92
12/24/2012	105.91
12/21/2012	106.63
12/20/2012	107.2
12/19/2012	107.1
12/18/2012	106.38
12/17/2012	106.07
12/14/2012	105.77
12/13/2012	106.01
12/12/2012	105.83
12/11/2012	104.8
12/10/2012	105.01
12/7/2012	104.75
12/6/2012	105.64
12/5/2012	107.2
12/4/2012	107.66
12/3/2012	108.44
11/30/2012	108.59
11/29/2012	107.46
11/28/2012	106.99
11/27/2012	108.07
11/26/2012	108.48
11/23/2012	108.08
11/22/2012	107.94
11/21/2012	107.88
11/20/2012	108.33
11/19/2012	108.76
11/16/2012	107.04
11/15/2012	107.23
11/14/2012	106.21
11/13/2012	105.97
11/12/2012	106.59
11/9/2012	105.21
11/8/2012	104.58
11/7/2012	106.87
11/6/2012	105.79
11/5/2012	103.42
11/2/2012	105.06
11/1/2012	106.26
10/31/2012	106.16
10/30/2012	106.12
10/29/2012	105.97
10/26/2012	106.37
10/25/2012	105.83
10/24/2012	105.68
10/23/2012	105.94
10/22/2012	107.13
10/19/2012	108.99
10/18/2012	109.77
10/17/2012	110.24
10/16/2012	111.09
10/15/2012	110.7
10/12/2012	111.06
10/11/2012	111.35
10/10/2012	110.94
10/9/2012	109.46
10/8/2012	107.94
10/5/2012	108.77
10/4/2012	106.99
10/3/2012	107.08
10/2/2012	109.32
10/1/2012	109.29
9/28/2012	109.68
9/27/2012	108.21
9/26/2012	106.84
9/25/2012	107.99
9/24/2012	107.47
9/21/2012	108.15
9/20/2012	105.88
9/19/2012	108.43
9/18/2012	110.95
9/17/2012	113.72
9/14/2012	114.87
9/13/2012	113.47
9/12/2012	113.36
9/11/2012	112.68
9/10/2012	112.32
9/7/2012	111.55
9/6/2012	111.75
9/5/2012	111.2
9/4/2012	112.85
9/3/2012	112.11
8/31/2012	111.17
8/30/2012	110.66
8/29/2012	109.9
8/28/2012	110.22
8/27/2012	112.04
8/24/2012	112.12
8/23/2012	113.56
8/22/2012	112.2
8/21/2012	112.28
8/20/2012	111.49
8/17/2012	111.56
8/16/2012	112.11
8/15/2012	110.65
8/14/2012	110.1
8/13/2012	109.67
8/10/2012	109.1
8/9/2012	108.39
8/8/2012	108.36
8/7/2012	107.58
8/6/2012	105.67
8/3/2012	104.46
8/2/2012	103.07
8/1/2012	102.54
7/31/2012	102.22
7/30/2012	102.94
7/27/2012	102.92
7/26/2012	101.47
7/25/2012	100.21
7/24/2012	100.51
7/23/2012	100.07
7/20/2012	103.7
7/19/2012	103.71
7/18/2012	101.73
7/17/2012	101.29
7/16/2012	99.93
7/13/2012	99.1
7/12/2012	97.32
7/11/2012	96.74
7/10/2012	96.33
7/9/2012	96.83
7/6/2012	96.84
7/5/2012	98.34
7/4/2012	97.3
7/3/2012	96.44
7/2/2012	94.07
6/29/2012	92.99
6/28/2012	90.92
6/27/2012	90.91
6/26/2012	90.13
6/25/2012	88.92
6/22/2012	88.74
6/21/2012	89.48
6/20/2012	93.08
6/19/2012	93.73
6/18/2012	95.03
6/15/2012	96.02
6/14/2012	95.22
6/13/2012	95.56
6/12/2012	94.99
6/11/2012	97.34
6/8/2012	95.87
6/7/2012	97.7
6/6/2012	97.89
6/5/2012	96.19
6/4/2012	95.48
6/1/2012	97.44
5/31/2012	101.06
5/30/2012	102.75
5/29/2012	105.13
5/28/2012	105.01
5/25/2012	104.59
5/24/2012	103.49
5/23/2012	104.16
5/22/2012	106.16
5/21/2012	105.93
5/18/2012	105.16
5/17/2012	107.1
5/16/2012	108.14
5/15/2012	108.7
5/14/2012	108.14
5/11/2012	109.24
5/10/2012	110.06
5/9/2012	109.85
5/8/2012	109.58
5/7/2012	110.12
5/4/2012	112.23
5/3/2012	115.31
5/2/2012	116.68
5/1/2012	117.08
4/30/2012	117.2
4/27/2012	117.25
4/26/2012	117.14
4/25/2012	116.05
4/24/2012	115.8
4/23/2012	115.5
4/20/2012	116.46
4/19/2012	116.24
4/18/2012	115.73
4/17/2012	116.27
4/16/2012	116.98
4/13/2012	119.1
4/12/2012	118.72
4/11/2012	117.8
4/10/2012	119.38
4/9/2012	120.4
4/5/2012	121.15
4/4/2012	121.94
4/3/2012	122.95
4/2/2012	121.62
3/30/2012	120.89
3/29/2012	121.61
3/28/2012	122.29
3/27/2012	123.54
3/26/2012	123.53
3/23/2012	122.81
3/22/2012	121.83
3/21/2012	122.95
3/20/2012	123.09
3/19/2012	124.12
3/16/2012	122.96
3/15/2012	123.08
3/14/2012	124.34
3/13/2012	124.64
3/12/2012	123.92
3/9/2012	124.19
3/8/2012	124.17
